"Transaction Approved","Transaction Approved"
"Transaction Rejected","Transaction Rejected"
"Transaction Failed","Transaction Failed"
"Transaction Pending","Transaction Pending"
"Status","Status"
"Reference","Reference"
"Transaction Date","Transaction Date"
"Payment Description","Payment Description"
"PlacetoPay Payment - %s","Place to Pay Payment - %s"
"Response Code","Response Code"
"Reason","Reason"
"Franchise Code","Franchise Code"
"Franchise","Franchise"
"Bank Name","Bank Name"
"Credit Card","Credit Card"
"Authorization/UFC","Authorization/UFC"
"Receipt","Receipt"
"IP Address","Dirección IP"
"Conversion Factor","Conversion Factor"
"Payer Name","Payer Name"
"Payer Email","Payer Email"
"EXPIRED","Expired"
"REJECTED","Rejected"
"DECLINED","Declined"
"CANCELED","Canceled"
"authorization","Autorización/CUS"
"ERROR","Failed"
"FAILED","Failed"
"APPROVED","Approved"
"UNKNOWN","Pending"
"Pending payment","Pending payment"
"Pending Payment","Pending Payment"
"PlacetoPay - Credit cards and debits account","PlacetoPay - Credit cards and debits account"
"Title","Title"
"Enabled","Enabled"
"Yes","Yes"
"No","No"
"N/A","N/A"
"New Order Status","New Order Status"
"Company Name","Company Name"
"Merchant ID","Merchant ID"
"Payment description","Payment description"
"Customer Site ID","Customer Site ID"
"GPG Executable Path","GPG Executable Path"
"Keyring Home Directory","Keyring Home Directory"
"GnuPG Merchant Key","GnuPG Merchant Key"
"Merchant Passphrase","Merchant Passphrase"
"GnuPG PlacetoPay Key","GnuPG PlacetoPay Key"
"Identification issued by PlacetoPay to the merchant","Identification issued by PlacetoPay to the merchant"
"Full path to the GnuPG executable file","Full path to the GnuPG executable file"
"Directory where the keyring is founded","Directory where the keyring is founded"
"Missing GPG Path or Keyring","Missing GPG Path or Keyring"
"Key ID created by the merchant to connect with PlacetoPay","Key ID created by the merchant to connect with PlacetoPay"
"Password used at the time of the creation of the key","Password used at the time of the creation of the key"
"PlacetoPay Key ID","PlacetoPay Key ID"
"You will be redirected to the PlacetoPay secure payment page when you place an order.","You will be redirected to the PlacetoPay secure payment page when you place an order."
"My account / My orders","My account / My orders"
"You will be redirected to PlacetoPay secure site in a few seconds.","You will be redirected to PlacetoPay secure site in a few seconds."
"Warning!","Warning!"
"Questions?","Questions?"
"You have orders in process with payment transaction pending from get a bank response.<br/>We recommend you to review the section %s, to verify that a double payment not be charged.<br/>If you wish more information about the current status of your payment process please contact us in our support phone %s or send your questions to the email %s.","You have orders in process with payment transaction pending from get a bank response.<br/>We recommend you to review the section %s, to verify that a double payment not be charged.<br/>If you wish more information about the current status of your payment process please contact us in our support phone %s or send your questions to the email %s."
