"Transaction Approved","Transacción Aprobada"
"Transaction Rejected","Transacción Rechazada"
"Transaction Failed","Transacción Fallida"
"Transaction Pending","Transacción Pendiente"
"Status","Estado"
"Reference","Referencia"
"Transaction Date","Fecha y hora"
"Payment Description","Descripción del pago"
"PlacetoPay Payment - %s","Pago en PlacetoPay - %s"
"Response Code","Código motivo"
"Reason","Motivo"
"Franchise Code","Código franquicia"
"Franchise","Franquicia"
"Bank Name","Banco"
"Credit Card","Tarjeta Nro."
"Authorization/UFC","Autorización/CUS"
"Receipt","Recibo"
"IP Address","Dirección IP"
"Conversion Factor","Tasa de cambio"
"Payer Name","Nombre del pagador"
"Payer Email","Email del pagador"
"EXPIRED","Vencida"
"REJECTED","Rechazada"
"DECLINED","Declinada"
"CANCELED","Cancelada"
"ERROR","Fallida"
"FAILED","Fallida"
"APPROVED","Aprobada"
"UNKNOWN","Pendiente"
"Pending payment","Pendiente pago"
"Pending Payment","Pago pendiente"
"PlacetoPay - Credit cards and debits account","PlacetoPay - Tarjetas de crédito y débitos a cuenta"
"Title","Título"
"Enabled","Habilitado"
"Yes","Sí"
"No","No"
"N/A","N/D"
"New Order Status","Estado nuevo pedido"
"Company Name","Razón social"
"Merchant ID","NIT"
"Payment description","Descripción para el pago"
"Customer Site ID","Identificador de sitio"
"GPG Executable Path","Ruta del ejecutable GPG"
"Keyring Home Directory","Ruta del anillo de llaves"
"GnuPG Merchant Key","Llave GnuPG del comercio"
"Merchant Passphrase","Contraseña de la llave"
"GnuPG PlacetoPay Key","Llave GnuPG de PlacetoPay"
"Identification issued by PlacetoPay to the merchant","Identificacion otorgada por PlacetoPay al comercio"
"Full path to the GnuPG executable file","Ruta completa con el archivo ejecutable del GnuPG"
"Directory where the keyring is founded","Directorio en donde se encuentra el anillo de llaves"
"Missing GPG Path or Keyring","No hay ruta al GPG o anillo"
"Key ID created by the merchant to connect with PlacetoPay","Identificador de la llave creada por el comercio para conectarse con PlacetoPay"
"Password used at the time of the creation of the key","Clave usada en el momento de la creación de la llave"
"PlacetoPay Key ID","Identificador de la llave de PlacetoPay"
"You will be redirected to the PlacetoPay secure payment page when you place an order.","Usted será redireccionado al sitio seguro de PlacetoPay cuando confirme la orden."
"My account / My orders","Mi cuenta / Mis pedidos"
"You will be redirected to PlacetoPay secure site in a few seconds.","Usted será redirigido al sitio seguro de PlacetoPay en unos segundos."
"Warning!","¡Atención!"
"Questions?","¿Inquietudes?"
